Unnamed: 0,Код,Търговски обект,Наименование на продукта,Код на продукта,Категория,Цена,Цена в промоция,store,updated_at,"ï»¿""ÐÐ°ÑÐµÐ»ÐµÐ½Ð¾ Ð¼ÑÑÑÐ¾""",Ð¢ÑÑÐ³Ð¾Ð²ÑÐºÐ¸ Ð¾Ð±ÐµÐºÑ,ÐÐ°Ð¸Ð¼ÐµÐ½Ð¾Ð²Ð°Ð½Ð¸Ðµ Ð½Ð° Ð¿ÑÐ¾Ð´ÑÐºÑÐ°,ÐÐ¾Ð´ Ð½Ð° Ð¿ÑÐ¾Ð´ÑÐºÑÐ°,ÐÐ°ÑÐµÐ³Ð¾ÑÐ¸Ñ,Ð¦ÐµÐ½Ð° Ð½Ð° Ð´ÑÐµÐ±Ð½Ð¾,Ð¦ÐµÐ½Ð° Ð² Ð¿ÑÐ¾Ð¼Ð¾ÑÐ¸Ñ
,68134.0,197 - София/бул. Васил Левски 152,Нилски костур филе,7209190.0,30.0,9.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Gradus Шункова наден. от птиче месо,7209383.0,27.0,3.19,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Краве сирене ЗНП,7203611.0,9.0,8.18,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Colgate Паста з.зъби Max Fresh СК1,7209074.0,81.0,2.49,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Simid Селски хляб пълнозърнест,7208119.0,3.0,1.22,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Sladeya Захар 1 kg,7203632.0,38.0,0.64,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Шпеков салам Бургас,1086.0,28.0,1.89,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Био Каша Лека нощ с бисквити,131983.0,63.0,1.0,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Nashe Selo Краве сирене,7205789.0,9.0,7.2,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Kaliakra Слънчогледово олио,6810910.0,42.0,1.42,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Parliament Aqua Blue Цигари,7209896.0,78.0,4.3,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Bingo Унив.мокри кърпи-лимон,7208171.0,84.0,2.55,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Гръцко маслиново масло,6200505.0,43.0,7.5,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Салам с орехи,5609637.0,28.0,3.79,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Ябълки, червени, български на кг",80241.0,53.0,1.59,0.79,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Parodontax Паста з.зъби STR.PROT.WH,7209166.0,81.0,6.69,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Gimoka кафе гран густо,2075.0,70.0,2.55,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Варено-пушено св. контрафиле 80%,7200497.0,27.0,9.45,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Melitta Мляно кафе Excellent,1003745.0,70.0,3.83,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Пресен пилешки обезкостен бут,6804351.0,17.0,5.77,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Маслиново масло от маслиново кюспе,5717272.0,43.0,4.34,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Sredets Пастърма XXL, нарязана",7209879.0,28.0,4.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Chainik Чай липа или шипка СК1,7208558.0,72.0,0.71,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Антибактериални влaжни кърпи,7205661.0,84.0,1.66,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Boni Луканкова наденица,7200891.0,27.0,2.55,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Кисело мляко 3,6%",62441.0,7.0,0.66,0.49,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Zahira Захар фин кристал,1211.0,38.0,0.65,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Costa Crema Blend Кафе на зърна,7206645.0,71.0,18.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Био Пюре праскови маракуя и ябълка,196979.0,64.0,1.0,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Макарони от твърда пшеница,38724.0,36.0,0.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Aroma Natural Глицеринов сапун,7208873.0,83.0,0.86,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Кисело мляко 2% ЗНП,7201699.0,7.0,0.71,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Бекон XXL,6704427.0,27.0,4.09,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Прясна пил.подбедрица (долно бутче),6810553.0,17.0,2.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Чесън на кг,82705.0,59.0,5.31,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Свински гърди ,1082.0,27.0,7.66,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Кашкавал от краве мляко,1182.0,11.0,11.75,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Био пюре с пуешко, макарони и зеле",138002.0,64.0,1.41,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Davidoff Fine Aroma мляно кафе,7209884.0,70.0,6.79,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Кафе Россо,98384.0,70.0,3.79,2.89,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Четка за зъби XXL SK1,229483.0,80.0,1.89,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Sayana Кисело мляко 3,6% ЗНП",7204532.0,7.0,0.59,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Trendy Влажни кърпички,7204363.0,84.0,0.24,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Krina Български ориз, 1кг-плик",7209348.0,35.0,1.53,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Lacalut Aktiv паста за зъби Промоп,7203219.0,81.0,2.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Krina Боб трапезен, 1кг-плик",7209349.0,33.0,2.3,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Milka Кроасан шоколад 50 гр.,1025810.0,67.0,0.75,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Прясно мляко 3%,7202516.0,6.0,1.43,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Пушени пуешки гърди,1075.0,27.0,9.28,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Луканков салам промопак. 2+1 гратис,7205384.0,28.0,5.41,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Шампоан ES 400 ml SK 2,188527.0,82.0,1.27,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Madzharov Краве сирене ЗНП,7206940.0,9.0,9.2,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Colgate паста за зъб,7205753.0,81.0,2.39,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Lurpak Датско масло без сол 200 гр.,7208711.0,12.0,2.96,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Точени кори за баница фини,7201754.0,5.0,1.22,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Четки за зъби проф. 3 бр.,1001142.0,80.0,1.89,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Hipp 2 Био Комбиотик Мляко,7204458.0,65.0,21.47,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Слънчогледово масло 1 л,7209172.0,42.0,1.78,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Mlekarkata Краве сирене,7210271.0,9.0,3.49,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Rothmans Цигари 100's Sky Blue103,7209703.0,78.0,3.5,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Aquafresh Паста з.зъби LONG LAST.WH,7209167.0,81.0,2.55,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Intenso Мляно кафе RFA,178758.0,70.0,3.06,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Edoardo Miroglio Совиньон Блан, BG",7201701.0,75.0,9.71,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Салам с парченца лешници,5609639.0,28.0,2.49,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Бяло саламурено сирене,2092.0,9.0,4.59,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Zagorka Бира 5.0%, 11,4°, 2 л",2617.0,74.0,1.12,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Espresso Cremoso,72859.0,71.0,14.82,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Бисквити джунгла SK1,6605173.0,66.0,2.19,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Странджански дядо XXL,7201923.0,28.0,7.15,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Пром.пак.Филе Елена и Смядов.лук.,7209232.0,28.0,4.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Pirinsko Бира 4,4% алк. 9,8°Р",7203371.0,74.0,1.54,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Био масло 82%,6810338.0,12.0,3.06,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Colgate четка за зъби 360 Charcoal ,7207355.0,80.0,3.06,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Свински врат с кост XXL,7207059.0,21.0,3.79,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Кроасан с шунка и кашкавал,227544.0,67.0,0.91,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Бирени пръчици XXL,7202997.0,28.0,5.11,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Филе от сьомга,183977.0,30.0,15.33,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Кроасан с ягодов пълнеж,7208052.0,67.0,0.25,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Кисело мляко 2%,62438.0,7.0,0.61,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Rothmans Цигари 100's Dark Blue 103,7209702.0,78.0,3.5,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Салам с дивечово месо SK2,6700101.0,28.0,3.29,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Еспресо на зърна интенсо,135274.0,71.0,12.78,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Colgate Четки за зъби UltraSoft 2бр,7209758.0,80.0,4.29,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Rothmans 100's DarkBlue Цигари103mm,7202583.0,78.0,3.27,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,КЕН Шунка от бут,7210122.0,27.0,3.49,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Rosso Кафе на зърна,175043.0,71.0,12.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Gradus Прясно пиле без вътрешности,7201558.0,15.0,2.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Смядовска луканка,нар.дв. количест.",7207466.0,28.0,3.06,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Familia Фини точени кори,7208006.0,5.0,2.25,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Бриош кроасан с крем,229747.0,67.0,0.81,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Ръжено-пшеничен хляб,7207522.0,3.0,1.17,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Zhivena ПЗ хляб 100 % лимец,7204637.0,3.0,2.19,1.65,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Панагюрска луканка промопакет 1+1,7207635.0,28.0,3.35,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Ябълки червени Ред Принс на кг,80256.0,53.0,2.69,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Primo Gusto Пълнозър. пене ригате,7209636.0,36.0,1.17,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Vedrare Кисело мляко 2% масленост,7202626.0,7.0,0.59,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Agiva Homey мокри кърпи с белина,7209023.0,84.0,2.45,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Баница със сирене,7203167.0,68.0,0.89,0.69,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Био Пюре пуеш.зелен.смет.сос и ориз,196976.0,64.0,1.25,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Бял боб консерва (ОНТ 240g),28947.0,46.0,0.86,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Ябълки, червени, сладки на кг",81329.0,53.0,2.04,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Пресен кашкавал Гюбек SK1,7207563.0,11.0,9.29,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Охладена пъстърва филеXXL,7208234.0,30.0,9.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Бял боб консерва (ОНТ 530g),29413.0,46.0,1.53,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Кроасан крем брюле,186004.0,67.0,0.59,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Кисело краве мляко 3,6% масленост",1792.0,7.0,0.71,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Сардини,5900161.0,29.0,4.49,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Детска паста за зъби СК3,132312.0,81.0,0.76,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Veda Оцет,7200467.0,44.0,0.86,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Milka шоколад СК19,1004207.0,69.0,1.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Шпек Стара планина,1974.0,28.0,3.32,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Hipp пюре риз. брок. заешко, 8м",7204483.0,64.0,2.45,2.08,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,7Days Double ванилия-ягода,3382.0,67.0,0.81,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Сапун плодови аромати SK2, 90g-PK",5568852.0,83.0,0.42,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Права баница със сирене,7208973.0,68.0,1.38,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Gorna Bania Минерална вода 1,5л",7207595.0,73.0,0.35,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Дългозърнест ориз Арборио,39930.0,35.0,3.29,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Stallion Chardonnay Barrique,7209794.0,75.0,7.66,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Vergnano Granaroma кафе на зърна,7209887.0,71.0,19.39,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Тоалетна хартия 8бр,аромат.праскова",6800975.0,85.0,3.06,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Пр.цяло пиле без вътрешн., ок.1,4кг",1514.0,15.0,3.57,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Млечен зелен грах (ОНТ 450g),7207729.0,47.0,1.32,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Кисело мляко 3,6% ЗНП",7201700.0,7.0,0.74,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Vereya Прясно мляко 3%,7201323.0,6.0,1.73,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Colgate Паста за зъби MW Expert СК3,7209877.0,81.0,3.29,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Кашкавал от краве мляко,7208124.0,11.0,6.13,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Bozhentsi Кисело мляко 2,2%",7203048.0,7.0,0.92,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Немско масло 82% масленост,7210215.0,12.0,1.78,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Quantum Пино Ноар и Мерло, BG",1900.0,76.0,5.82,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Colgate Паста за зъби Ultra Active,7209369.0,81.0,5.39,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Точени кори за баница фини XXL,7207639.0,5.0,1.22,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Gorna Bania Минерална нат.вода 1,5л",1834.0,73.0,0.59,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Лионски салам сортиран СК1,6812133.0,27.0,3.73,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Stallion Classic Red Blend,7209799.0,76.0,4.99,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Смядовска луканка, нарязана",7207464.0,28.0,5.36,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Lacrima Кашкавал от краве мляко БДC,7206394.0,11.0,4.6,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Ritter Sport Шоколад сорт. СК1,1006810.0,69.0,2.55,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Hipp 1 Био Комбиотик Мляко,7204457.0,65.0,21.47,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Червен боб кидни (ОНТ 255 г),32716.0,46.0,0.81,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,"Narine Ацидофилно мляко 3,2%",7203347.0,7.0,0.76,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Био плодова пълнозърнеста каша,131986.0,63.0,1.0,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Паста Orecchiette/Trofie SK3 500g,6001877.0,36.0,1.59,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Кварк 40% SK1,189151.0,14.0,1.69,,Lidl,2026-09-24,,,,,,,
,68134.0,197 - София/бул. Васил Левски 152,Пражка шунка XXL   ,6704425.0,27.0,2.75,,Lidl,2026-09-24,,,,,,,
